50,Top speed of a greyhound,63.5,unit,0,km/h,speed,http://www.speedofanimals.com/
51,Top speed of a grizzly bear,56,unit,0,km/h,speed,http://www.speedofanimals.com/
52,Top speed of a giraffe,52,unit,0,km/h,speed,http://www.speedofanimals.com/
53,Top speed of a Blue Whale,50,unit,0,km/h,speed,http://www.speedofanimals.com/
54,Top speed of a killer whale,48.3,unit,0,km/h,speed,http://www.speedofanimals.com/
55,Top speed of a domestic cat,48,unit,0,km/h,speed,http://www.speedofanimals.com/
56,Top speed of a rabbit,48,unit,0,km/h,speed,http://www.speedofanimals.com/
57,Speed of Usain Bolt at his fastest (yet),44.7,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Footspeed
58,Fastest speed attained by a human-powered aircraft,44.32,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
59,Top speed of an African Bush Elephant,40,unit,0,km/h,speed,http://www.speedofanimals.com/
60,Top speed of a Great White shark,40,unit,0,km/h,speed,http://www.speedofanimals.com/
61,Top speed of a Brown Bear,35,unit,0,km/h,speed,http://www.speedofanimals.com/
62,Top speed of a Bottlenose Dolphin,35,unit,0,km/h,speed,http://www.speedofanimals.com/
63,Fastest speed attained by a human-powered watercraft,34.3,unit,0,km/h,speed,https://en.wikipedia.org/wiki/List_of_vehicle_speed_records
64,Top speed of a black mamba,32.2,unit,0,km/h,speed,http://www.speedofanimals.com/
65,Top speed of a roadrunner,32,unit,0,km/h,speed,http://www.speedofanimals.com/
66,Top speed of a tiger shark,32,unit,0,km/h,speed,http://www.speedofanimals.com/
67,Top speed of a Polar Bear,30,unit,0,km/h,speed,http://www.speedofanimals.com/
68,Top speed of a California Sea Lion swimming,21.6,unit,0,km/h,speed,http://www.speedofanimals.com/
69,Top speed of a Komodo dragon,21,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Fastest_animals
70,Top speed of an Eastern Gray Squirrel ,20,unit,0,km/h,speed,http://www.speedofanimals.com/
71,Top speed of a house mouse,13,unit,0,km/h,speed,http://www.speedofanimals.com/
72,Comfortable walking speed,5,unit,0,km/h,speed,https://en.wikipedia.org/wiki/Walking
73,Top speed of a Galapagos tortoise,0.3,unit,0,km/h,speed,http://www.speedofanimals.com/
74,Top speed of a garden snail,0.01,unit,0,km/h,speed,http://www.speedofanimals.com/
