51,Abidjan; Ivory Coast,4.765,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
52,Chengdu; China,4.742,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
53,Alexandria; Egypt,4.617,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
54,Kolkata; India,4.487,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
55,Ankara; Turkey,4.471,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
56,Xi'an; China,4.468,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
57,Surat; India,4.462,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
58,Johannesburg; South Africa,4.435,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
59,Dar es Salaam; Tanzania,4.365,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
60,Suzhou; China,4.327,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
61,Harbin; China,4.281,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
62,Giza; Egypt,4.240,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
63,Zhengzhou; China,4.122,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
64,New Taipei City; Taiwan,3.955,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
65,Los Angeles; United States,3.884,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
66,Cape Town; South Africa,3.740,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
67,Yokohama; Japan,3.680,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
68,Busan; South Korea,3.590,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
69,Hangzhou; China,3.560,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
70,Xiamen; China,3.531,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
71,Quanzhou; China,3.521,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
72,Berlin; Germany,3.517,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
73,Rawalpindi; Pakistan,3.510,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
74,Jeddah; Saudi Arabia,3.456,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
75,Durban; South Africa,3.442,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
76,Hyderabad; Pakistan,3.429,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
77,Kabul; Afghanistan,3.414,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
78,Casablanca; Morocco,3.360,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
79,Hefei; China,3.352,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
80,Pyongyang; North Korea,3.255,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
81,Madrid; Spain,3.207,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
82,Peshawar; Pakistan,3.201,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
83,Ekurhuleni; South Africa,3.178,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
84,Nairobi; Kenya,3.138,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
85,Zhongshan; China,3.121,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
86,Pune; India,3.115,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
87,Addis Ababa; Ethiopia,3.104,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
88,Jaipur; India,3.073,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
89,Buenos Aires; Argentina,3.054,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
90,Wenzhou; China,3.039,million,6,people,count,https://en.wikipedia.org/wiki/List_of_cities_proper_by_population
